,period,value,dataset_name,FREQ,REF_AREA,series_name,series_code
161,1992-04-01,86.2699,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
162,1992-07-01,83.3628,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
163,1992-10-01,84.3842,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
164,1993-01-01,81.9485,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
165,1993-04-01,85.2485,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
166,1993-07-01,84.3056,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
167,1993-10-01,86.0342,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
168,1994-01-01,86.3485,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
169,1994-04-01,84.7771,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
170,1994-07-01,85.0913,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
171,1994-10-01,82.6557,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
172,1995-01-01,84.3056,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
173,1995-04-01,82.9699,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
174,1995-07-01,87.6841,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
